,k,r,c,a SSE Action,b SSE Action,SSEAction,R2_SSE_Action,a RMSE Action,b RMSE Action,RMSE_Action,R2_RMSE_Action,a 1-corr Action,b 1-corr Action,One_minus_corr_Action,R2_1-corr_Action,a SSE External,b SSE External,SSEExternal,R2_SSE_External,a RMSE External,b RMSE External,RMSE_External,R2_RMSE_External,a 1-corr External,b 1-corr External,One_minus_corr_External,R2_1-corr_External
253,3,-2.3333333333333335,9.999999999999999e-05,0.009127366315680474,0.3227764019938321,2.2747059478631443e-05,0.9727089355018121,4.0,375.0,0.48101060760002734,0.9727089355018124,4.0,375.0,0.01373992501885557,0.9727089355018124,0.009127366315680474,0.3337615905125701,4.2153609382172694e-05,0.8482547203872824,4.0,375.0,0.6508957683948046,0.8482547203872849,4.0,375.0,0.07899255139424377,0.8482547203872849
254,3,-2.3333333333333335,0.0001333333333333333,0.00917298444103612,0.3226622053854372,2.258864833424133e-05,0.9728989912205789,4.0,375.0,0.48078986661827955,0.9728989912205789,4.0,375.0,0.013643578000031908,0.9728989912205789,0.00917298444103612,0.3336958029233475,4.203722090592909e-05,0.8486736975944893,4.0,375.0,0.6506734817186159,0.8486736975944891,4.0,375.0,0.07876512354639487,0.8486736975944891
255,3,-2.3333333333333335,0.00016666666666666663,0.009217627047056096,0.32255083739446616,2.2436204885399347e-05,0.973081887123956,4.0,375.0,0.4805773660693483,0.973081887123956,4.0,375.0,0.013550869469714732,0.973081887123956,0.009217627047056096,0.3336316537891273,4.192496733199349e-05,0.8490777899206701,4.0,375.0,0.6504590721931108,0.8490777899206707,4.0,375.0,0.07854582863786952,0.8490777899206707
256,3,-2.3333333333333335,0.00019999999999999998,0.009261333024414035,0.32244216316751284,2.2289541232408042e-05,0.9732578486456938,4.0,375.0,0.4803728524791679,0.9732578486456938,4.0,375.0,0.013461684147192288,0.9732578486456938,0.009261333024414035,0.3335690971497422,4.1816736320971515e-05,0.849467401748445,4.0,375.0,0.6502523273392806,0.8494674017484457,4.0,375.0,0.07833444148734414,0.8494674017484457
257,3,-2.3333333333333335,0.0002333333333333333,0.009304142019916136,0.322336045603872,2.2148471245129255e-05,0.9734270990989348,4.0,375.0,0.48017607418479524,0.9734270990989337,4.0,375.0,0.013375907906697182,0.9734270990989337,0.009304142019916136,0.33350803995660344,4.171241508566939e-05,0.8498429391025174,4.0,375.0,0.6500530336651955,0.8498429391025172,4.0,375.0,0.07813073643682145,0.8498429391025172
258,3,-2.3333333333333335,0.0002666666666666666,0.009346085313288607,0.3222323799330812,2.2012811483368876e-05,0.9735898585657183,4.0,375.0,0.47998678266083705,0.9735898585657177,4.0,375.0,0.01329342833559799,0.9735898585657177,0.009346085313288607,0.33344842257190804,4.161189112756084e-05,0.8502048069529883,4.0,375.0,0.6498609781023428,0.8502048069529878,4.0,375.0,0.07793448879540676,0.8502048069529878
259,3,-2.3333333333333335,0.0003,0.009387198225013525,0.3221310464146764,2.188238191815756e-05,0.973746343039902,4.0,375.0,0.4798047335520436,0.9737463430399027,4.0,375.0,0.013214135164116514,0.9737463430399027,0.009387198225013525,0.33339017172413904,4.1515052843983236e-05,0.8505534070532366,4.0,375.0,0.6496759491589371,0.8505534070532382,4.0,375.0,0.07774547599199155,0.8505534070532382
260,3,-2.0,0.0,0.010084099713759148,0.32113047945449386,2.688223020791157e-05,0.9677477135275057,4.0,375.0,0.48674498180849607,0.9677477135275057,4.0,375.0,0.016258309550974848,0.9677477135275057,0.010084099713759148,0.33298350191481735,4.510627600007041e-05,0.8376256608730345,4.0,375.0,0.6565281137555874,0.8376256608730326,4.0,375.0,0.08478108581988286,0.8376256608730326
261,3,-2.0,3.333333333333333e-05,0.010107127690610566,0.3210722145886768,2.681077637035116e-05,0.9678334411485304,4.0,375.0,0.48664634425650327,0.9678334411485293,4.0,375.0,0.016214738294718534,0.9678334411485293,0.010107127690610566,0.33295037743951805,4.505654291446899e-05,0.8378046908815888,4.0,375.0,0.6564333520790542,0.8378046908815862,4.0,375.0,0.08468328384018564,0.8378046908815862
262,3,-2.0,6.666666666666666e-05,0.010129832415044223,0.3210148769159607,2.6740716780611087e-05,0.9679174960032694,4.0,375.0,0.4865496162042206,0.9679174960032696,4.0,375.0,0.016172019099238155,0.9679174960032696,0.010129832415044223,0.33291778804240424,4.5007739524864616e-05,0.8379803741517723,4.0,375.0,0.6563403583954722,0.8379803741517737,4.0,375.0,0.0845873203020544,0.8379803741517737
263,3,-2.0,9.999999999999999e-05,0.010152236487979683,0.3209583890897011,2.667203266087096e-05,0.9679999006209961,4.0,375.0,0.48645477260727416,0.967999900620995,4.0,375.0,0.016130140404232662,0.967999900620995,0.010152236487979683,0.33288569435013843,4.4959854994091965e-05,0.8381527496993626,4.0,375.0,0.6562491122429386,0.8381527496993609,4.0,375.0,0.0844931733190839,0.8381527496993609
264,3,-2.0,0.0001333333333333333,0.010174337647204506,0.32090276107164734,2.66047048722593e-05,0.968080677963858,4.0,375.0,0.4863617878907329,0.9680806779638584,4.0,375.0,0.016089090433560438,0.9680806779638584,0.010174337647204506,0.33285409522247317,4.4912878158873174e-05,0.8383218577094085,4.0,375.0,0.6561595925343683,0.8383218577094089,4.0,375.0,0.08440082038622987,0.8383218577094089
265,3,-2.0,0.00016666666666666663,0.010196144413530792,0.32084796509127583,2.6538713991139604e-05,0.9681598513355226,4.0,375.0,0.4862706360546216,0.9681598513355233,4.0,375.0,0.016048857241619197,0.9681598513355233,0.010196144413530792,0.3328229546247693,4.486679758440012e-05,0.8384877393445885,4.0,375.0,0.656071777659,0.83848773934459,4.0,375.0,0.08431023848434904,0.83848773934459
266,3,-2.0,0.00019999999999999998,0.010217666617853071,0.32079396874806615,2.647404037732783e-05,0.9682374442994914,4.0,375.0,0.48618129076838423,0.9682374442994923,4.0,375.0,0.016009428754781063,0.9682374442994923,0.010217666617853071,0.3327922745185146,4.48216016124641e-05,0.8386504365727401,4.0,375.0,0.6559856455737295,0.8386504365727405,4.0,375.0,0.08422140417416368,0.8386504365727405
267,3,-2.0,0.0002333333333333333,0.010238906853384123,0.32074076515914035,2.641066423499238e-05,0.9683134806061167,4.0,375.0,0.4860937254554992,0.9683134806061167,4.0,375.0,0.015970792808406298,0.9683134806061167,0.010238906853384123,0.3327620581996119,4.47772784041063e-05,0.8388099920116628,4.0,375.0,0.6559011738852902,0.8388099920116638,4.0,375.0,0.0841342936807471,0.8388099920116638
268,3,-2.0,0.0002666666666666666,0.010259873017074483,0.32068832870223424,2.634856566684784e-05,0.9683879841274556,4.0,375.0,0.48600791336904,0.9683879841274565,4.0,375.0,0.01593293717986033,0.9683879841274565,0.010259873017074483,0.3327322785379786,4.4733815978767065e-05,0.8389664487895845,4.0,375.0,0.6558183399242288,0.8389664487895859,4.0,375.0,0.08404888296940982,0.8389664487895859
